indicatorId,geoUnit,year,value,qualifier,magnitude
XGOVEXP.IMF,BIH,2016,10.2874002456665,,
XGOVEXP.IMF,BIH,2018,9.630789756774902,,
XGOVEXP.IMF,BIH,2019,10.13315010070801,,
XGOVEXP.IMF,BIH,2021,10.1768798828125,,
XGOVEXP.IMF,BLR,2000,0,,NIL
XGOVEXP.IMF,BLR,2004,12.55235004425049,,
XGOVEXP.IMF,BLR,2005,12.62010955810547,,
XGOVEXP.IMF,BLR,2006,12.45032024383545,,
XGOVEXP.IMF,BLR,2007,10.13372039794922,,
XGOVEXP.IMF,BLR,2009,8.449549674987793,,
XGOVEXP.IMF,BLR,2010,11.77812957763672,,
XGOVEXP.IMF,BLR,2011,11.62664985656738,,
XGOVEXP.IMF,BLR,2012,12.75230026245117,,
XGOVEXP.IMF,BLR,2013,12.2739896774292,,
XGOVEXP.IMF,BLR,2014,12.40672016143799,,
XGOVEXP.IMF,BLR,2015,11.46173000335693,,
XGOVEXP.IMF,BLR,2016,12.15878009796143,,
XGOVEXP.IMF,BLR,2017,12.28168964385986,,
XGOVEXP.IMF,BLR,2018,12.7802095413208,,
XGOVEXP.IMF,BLR,2019,13.33073997497559,,
XGOVEXP.IMF,BLR,2020,12.78114986419678,,
XGOVEXP.IMF,BLR,2021,12.81599998474121,,
XGOVEXP.IMF,BLR,2022,12.17733001708984,,
XGOVEXP.IMF,BLR,2023,12.2770299911499,,
XGOVEXP.IMF,BLR,2024,12.34191989898682,,
XGOVEXP.IMF,CHE,2000,14.4521598815918,,
XGOVEXP.IMF,CHE,2001,15.25533962249756,,
XGOVEXP.IMF,CHE,2002,15.18126010894775,,
XGOVEXP.IMF,CHE,2003,16.19942092895508,,
XGOVEXP.IMF,CHE,2004,16.09639930725098,,
XGOVEXP.IMF,CHE,2005,15.70398998260498,,
XGOVEXP.IMF,CHE,2006,15.85387992858887,,
XGOVEXP.IMF,CHE,2007,15.56042003631592,,
XGOVEXP.IMF,CHE,2008,15.88504028320313,,
XGOVEXP.IMF,CHE,2009,15.52213954925537,,
XGOVEXP.IMF,CHE,2010,15.28763961791992,,
XGOVEXP.IMF,CHE,2011,15.44705009460449,,
XGOVEXP.IMF,CHE,2012,15.47457027435303,,
XGOVEXP.IMF,CHE,2013,15.09430980682373,,
XGOVEXP.IMF,CHE,2014,15.32168960571289,,
XGOVEXP.IMF,CHE,2015,15.38836002349854,,
XGOVEXP.IMF,CHE,2016,15.36046981811523,,
XGOVEXP.IMF,CHE,2017,15.46105003356934,,
XGOVEXP.IMF,CHE,2018,15.52597045898438,,
XGOVEXP.IMF,CHE,2019,15.67673969268799,,
XGOVEXP.IMF,CHE,2020,14.27455997467041,,
XGOVEXP.IMF,CHE,2021,14.60931015014648,,
XGOVEXP.IMF,CHE,2022,15.41516971588135,,
XGOVEXP.IMF,CYP,2000,14.26830959320068,,
