essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
5,BE,1,0.52861917,0.41912344,5,5,38
5,BE,1,0.52861917,0.46048385,4,5,30
5,BE,1,0.52861917,0.422606,4,5,12
5,BE,1,0.52861917,0.43136886,2,6,33
5,BE,1,0.52861917,0.4043421,7,6,50
5,BE,1,0.52861917,0.4043421,5,5,42
5,BE,1,0.52861917,0.42781413,2,7,40
5,BE,1,0.52861917,0.45112953,2,7,40
5,BE,1,0.52861917,0.45112953,4,5,40
5,BE,1,0.52861917,0.39286387,7,6,41
5,BE,1,0.52861917,0.39286387,7,2,38
5,BE,1,0.52861917,0.59096634,6,5,38
5,BE,1,0.52861917,0.3961282,5,6,40
5,BE,1,0.52861917,0.59587675,7,4,40
5,BE,1,0.52861917,0.6304674,2,6,666
5,BE,1,0.52861917,0.39286387,0,7,38
5,BE,1,0.52861917,0.59096634,7,7,40
5,BE,1,0.52861917,0.422606,2,4,50
5,BE,1,0.52861917,0.454878,3,6,50
5,BE,1,0.52861917,0.46431005,5,6,40
5,BE,1,0.52861917,0.3961282,6,7,666
5,BE,1,0.52861917,0.45112953,4,7,42
5,BE,1,0.52861917,0.46048385,2,6,38
5,BE,1,0.52861917,0.59096634,7,6,45
5,BE,1,0.52861917,0.59096634,7,7,888
5,BE,1,0.52861917,0.422606,5,6,25
5,BE,1,0.52861917,0.42781413,1,7,666
5,BE,1,0.52861917,0.45112953,2,4,60
5,BE,1,0.52861917,0.67861265,7,4,38
5,BE,1,0.52861917,0.40101004,7,6,40
5,BE,1,0.52861917,0.39286387,6,5,60
5,BE,1,0.52861917,0.59096634,7,6,40
5,BE,1,0.52861917,0.422606,3,7,666
5,BE,1,0.52861917,0.635706,5,4,666
5,BE,1,0.52861917,0.422606,6,5,40
5,BE,1,0.52861917,0.46431005,4,4,22
5,BE,1,0.52861917,0.46431005,7,4,30
5,BE,1,0.52861917,0.3961282,5,6,40
5,BE,1,0.52861917,0.3961282,7,4,38
5,BE,1,0.52861917,0.6304674,6,4,666
5,BE,1,0.52861917,0.42781413,5,4,666
5,BE,1,0.52861917,0.42781413,3,6,42
5,BE,1,0.52861917,0.46048385,4,6,40
5,BE,1,0.52861917,0.46048385,4,4,42
5,BE,1,0.52861917,0.46048385,3,5,60
5,BE,1,0.52861917,0.39286387,5,3,40
5,BE,1,0.52861917,0.40101004,7,6,80
5,BE,1,0.52861917,0.422606,3,6,35
5,BE,1,0.52861917,0.635706,3,5,34
5,BE,1,0.52861917,0.46431005,1,4,40
5,BE,1,0.52861917,0.4043421,4,6,50
5,BE,1,0.52861917,0.59587675,3,4,15
5,BE,1,0.52861917,0.59587675,4,4,40
5,BE,1,0.52861917,0.59587675,7,2,36
5,BE,1,0.52861917,0.768635,4,7,65
5,BE,1,0.52861917,0.5296841,6,5,0
5,BE,1,0.52861917,0.5296841,2,7,66
5,BE,1,0.52861917,0.4564972,7,5,8
5,BE,1,0.52861917,0.6845796,5,6,38
5,BE,1,0.52861917,0.4121319,1,7,666
5,BE,1,0.52861917,0.4121319,2,5,60
5,BE,1,0.52861917,0.4121319,2,7,37
5,BE,1,0.52861917,1.5878032,3,4,666
5,BE,1,0.52861917,0.471023,7,4,0
5,BE,1,0.52861917,0.5278547,3,4,45
5,BE,1,0.52861917,0.5296841,3,3,38
5,BE,1,0.52861917,0.66346806,3,4,666
5,BE,1,0.52861917,0.79309297,7,5,38
5,BE,1,0.52861917,0.5123764,5,2,47
5,BE,1,0.52861917,0.5123764,1,4,888
5,BE,1,0.52861917,0.66346806,3,4,888
5,BE,1,0.52861917,0.471023,6,6,19
5,BE,1,0.52861917,0.471023,3,6,25
5,BE,1,0.52861917,0.44227153,4,6,30
5,BE,1,0.52861917,0.46048385,3,6,40
5,BE,1,0.52861917,0.422606,7,6,38
5,BE,1,0.52861917,0.454878,4,6,45
5,BE,1,0.52861917,0.3961282,7,6,90
5,BE,1,0.52861917,0.3961282,3,6,45
5,BE,1,0.52861917,0.42781413,1,6,40
5,BE,1,0.52861917,0.46048385,5,4,40
5,BE,1,0.52861917,0.45112953,5,5,50
5,BE,1,0.52861917,0.39286387,6,3,0
5,BE,1,0.52861917,0.635706,0,6,666
5,BE,1,0.52861917,0.43136886,7,6,42
5,BE,1,0.52861917,0.46431005,3,5,50
5,BE,1,0.52861917,0.46431005,4,6,40
5,BE,1,0.52861917,0.6304674,6,7,666
5,BE,1,0.52861917,0.46048385,3,6,39
5,BE,1,0.52861917,0.59587675,7,6,20
5,BE,1,0.52861917,0.41912344,2,6,666
5,BE,1,0.52861917,0.45112953,3,5,65
5,BE,1,0.52861917,0.59096634,6,7,38
5,BE,1,0.52861917,0.46431005,6,5,34
5,BE,1,0.52861917,0.6304674,5,4,32
5,BE,1,0.52861917,0.41912344,4,6,38
5,BE,1,0.52861917,0.454878,3,4,39
5,BE,1,0.52861917,0.68425125,7,6,38
5,BE,1,0.52861917,0.4043421,3,7,30
5,BE,1,0.52861917,0.45112953,7,5,14
5,BE,1,0.52861917,0.635706,7,7,666
5,BE,1,0.52861917,0.3961282,7,6,48
5,BE,1,0.52861917,0.6304674,4,6,666
5,BE,1,0.52861917,0.6304674,3,6,38
5,BE,1,0.52861917,0.46048385,1,5,40
5,BE,1,0.52861917,0.67861265,4,6,38
5,BE,1,0.52861917,0.67861265,7,6,50
5,BE,1,0.52861917,0.43136886,2,6,45
5,BE,1,0.52861917,0.4043421,4,5,666
5,BE,1,0.52861917,0.59587675,7,5,54
5,BE,1,0.52861917,0.45112953,7,2,888
5,BE,1,0.52861917,0.46048385,5,4,20
5,BE,1,0.52861917,0.40101004,2,5,14
5,BE,1,0.52861917,0.59096634,7,4,888
5,BE,1,0.52861917,0.422606,5,4,0
5,BE,1,0.52861917,0.43136886,4,5,888
5,BE,1,0.52861917,0.454878,6,4,20
5,BE,1,0.52861917,0.3961282,4,6,20
5,BE,1,0.52861917,0.59587675,4,6,666
5,BE,1,0.52861917,0.59587675,7,6,666
5,BE,1,0.52861917,0.6304674,4,6,60
5,BE,1,0.52861917,0.67861265,5,5,666
5,BE,1,0.52861917,0.635706,5,6,666
5,BE,1,0.52861917,0.4043421,5,6,40
5,BE,1,0.52861917,0.41912344,2,6,40
5,BE,1,0.52861917,0.6304674,6,6,55
5,BE,1,0.52861917,0.67861265,2,5,48
5,BE,1,0.52861917,0.46048385,3,5,46
5,BE,1,0.52861917,0.39286387,7,6,35
5,BE,1,0.52861917,0.59096634,4,5,50
5,BE,1,0.52861917,0.3961282,6,5,66
5,BE,1,0.52861917,0.59587675,5,6,54
5,BE,1,0.52861917,0.3961282,7,6,45
5,BE,1,0.52861917,0.41912344,6,6,39
5,BE,1,0.52861917,0.59096634,7,5,38
5,BE,1,0.52861917,0.39286387,7,4,38
5,BE,1,0.52861917,0.422606,4,6,666
5,BE,1,0.52861917,0.46431005,1,6,40
5,BE,1,0.52861917,0.59587675,7,6,48
5,BE,1,0.52861917,0.59587675,4,6,666
5,BE,1,0.52861917,0.39286387,7,3,38
5,BE,1,0.52861917,0.39286387,4,4,40
5,BE,1,0.52861917,0.46431005,7,6,19
5,BE,1,0.52861917,0.41912344,5,6,666
5,BE,1,0.52861917,0.6304674,7,7,40
5,BE,1,0.52861917,0.41912344,3,6,666
5,BE,1,0.52861917,0.42781413,4,5,45
5,BE,1,0.52861917,0.45112953,4,4,60
5,BE,1,0.52861917,0.59096634,7,3,40
5,BE,1,0.52861917,0.59096634,7,5,40
5,BE,1,0.52861917,0.422606,7,6,38
5,BE,1,0.52861917,0.68425125,7,7,38
5,BE,1,0.52861917,0.46431005,3,6,24
5,BE,1,0.52861917,0.68425125,4,6,32
5,BE,1,0.52861917,0.3961282,7,3,55
5,BE,1,0.52861917,0.59587675,7,4,666
5,BE,1,0.52861917,0.4043421,7,6,47
5,BE,1,0.52861917,0.41912344,4,7,40
5,BE,1,0.52861917,0.45112953,5,4,50
5,BE,1,0.52861917,0.45112953,6,4,38
5,BE,1,0.52861917,0.45112953,7,7,36
5,BE,1,0.52861917,0.635706,6,6,666
5,BE,1,0.52861917,0.454878,3,6,38
5,BE,1,0.52861917,0.46431005,4,5,20
5,BE,1,0.52861917,0.59587675,5,5,80
5,BE,1,0.52861917,0.59587675,7,4,48
5,BE,1,0.52861917,0.454878,5,6,34
5,BE,1,0.52861917,0.59587675,2,4,20
5,BE,1,0.52861917,0.59587675,6,2,43
5,BE,1,0.52861917,0.422606,3,6,48
5,BE,1,0.52861917,0.454878,4,3,25
5,BE,1,0.52861917,0.5123764,7,6,40
5,BE,1,0.52861917,0.4415809,6,6,666
5,BE,1,0.52861917,0.4415809,5,4,35
5,BE,1,0.52861917,0.4572112,5,7,46
5,BE,1,0.52861917,0.44227153,4,5,0
5,BE,1,0.52861917,0.768635,1,7,666
5,BE,1,0.52861917,0.5115763,4,4,38
5,BE,1,0.52861917,0.4415809,2,5,666
5,BE,1,0.52861917,0.471023,0,7,19
5,BE,1,0.52861917,0.4572112,6,4,38
5,BE,1,0.52861917,0.44227153,2,5,38
5,BE,1,0.52861917,0.4572112,3,6,72
5,BE,1,0.52861917,0.6645057,2,6,20
5,BE,1,0.52861917,0.54568523,6,2,38
5,BE,1,0.52861917,0.5278547,4,4,50
5,BE,1,0.52861917,0.5296841,1,6,60
5,BE,1,0.52861917,0.45563203,2,5,35
5,BE,1,0.52861917,0.45563203,3,4,44
5,BE,1,0.52861917,0.44227153,6,6,12
5,BE,1,0.52861917,0.528857,0,7,30
5,BE,1,0.52861917,0.471023,3,4,38
5,BE,1,0.52861917,0.528857,0,7,666
5,BE,1,0.52861917,0.528857,2,6,45
