cntry,essround,dweight,pweight,anweight,sclmeet,wkhtot
BE,10,0.9525171,0.7180754,0.39348313,6,40
BE,10,1.0912099,0.7180754,0.5150562,6,60
BE,10,0.91925496,0.7180754,0.46982217,4,45
BE,10,0.90990996,0.7180754,0.64208233,6,40
BE,10,1.0300072,0.7180754,1.1535413,7,666
BE,10,1.0339676,0.7180754,0.8825861,6,39
BE,10,1.0877413,0.7180754,0.48692375,7,36
BE,10,1.0594689,0.7180754,0.56367433,4,666
BE,10,0.89745224,0.7180754,0.50586814,5,45
BE,10,1.0466028,0.7180754,0.93421924,3,48
BE,10,0.9176301,0.7180754,0.4917003,7,1
BE,10,1.0912099,0.7180754,0.824877,4,40
BE,10,0.9430348,0.7180754,0.46143967,2,19
BE,10,0.89987373,0.7180754,0.7437722,3,42
BE,10,1.0476425,0.7180754,0.6381069,6,40
BE,10,1.0912099,0.7180754,0.93643034,7,75
BE,10,0.9454292,0.7180754,0.4611763,6,38
BE,10,0.92951554,0.7180754,0.34689483,6,45
BE,10,0.9113752,0.7180754,0.5896719,6,42
BE,10,1.0339676,0.7180754,0.5034496,7,40
BE,10,1.0793686,0.7180754,1.7477539,4,40
BE,10,0.92528105,0.7180754,0.5424144,5,42
BE,10,1.0300072,0.7180754,0.4978053,5,40
BE,10,0.9259795,0.7180754,0.45309418,6,40
BE,10,0.8941016,0.7180754,1.4438496,4,44
BE,10,1.1353306,0.7180754,0.5325856,4,45
BE,10,0.8985712,0.7180754,0.65513426,2,34
BE,10,1.0793686,0.7180754,0.78695065,7,40
BE,10,1.0594689,0.7180754,0.5589574,4,55
BE,10,1.0466028,0.7180754,0.39059186,7,42
BE,10,1.0476425,0.7180754,0.7739584,6,666
BE,10,1.0466028,0.7180754,0.8468776,7,36
BE,10,0.89934325,0.7180754,0.45242944,4,16
BE,10,1.0594689,0.7180754,0.83372027,5,19
BE,10,0.9189489,0.7180754,0.427064,5,23
BE,10,1.0912099,0.7180754,0.58543974,4,39
BE,10,1.1353306,0.7180754,0.8055076,4,43
BE,10,1.0877413,0.7180754,0.521777,5,999
BE,10,1.0476425,0.7180754,0.6793515,6,39
BE,10,0.92516845,0.7180754,1.2766438,5,15
BE,10,0.9660232,0.7180754,0.9602012,6,8
