essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
11,AT,1.1851145,0.33091453,0.13001321,4,666
11,AT,0.6098981,0.33091453,0.107597955,7,32
11,AT,1.3923296,0.33091453,1.3236659,4,25
11,AT,0.5560615,0.33091453,0.058316287,6,39
11,AT,0.7227953,0.33091453,0.35108042,5,35
11,AT,0.9926053,0.33091453,0.4609019,6,40
11,AT,0.5403178,0.33091453,0.19099933,4,30
11,AT,0.81462234,0.33091453,0.20499675,4,50
11,AT,1.3649563,0.33091453,0.22953385,4,40
11,AT,0.872949,0.33091453,0.16289838,3,40
11,AT,0.6989865,0.33091453,0.117543094,4,38
11,AT,0.8320375,0.33091453,0.10388404,4,40
11,AT,0.87345386,0.33091453,0.09160248,6,888
11,AT,0.9025512,0.33091453,0.16842224,4,50
11,AT,0.58181804,0.33091453,1.3238645,6,37
11,AT,0.69352174,0.33091453,0.13777868,6,42
11,AT,2.3245115,0.33091453,0.2902267,6,38
11,AT,0.9926053,0.33091453,0.4609019,2,888
11,AT,1.0702981,0.33091453,0.5491631,2,40
11,AT,0.5560615,0.33091453,0.42538047,6,40
11,AT,0.48294935,0.33091453,0.22425073,6,666
11,AT,0.9926053,0.33091453,0.4821347,5,888
11,AT,0.7366085,0.33091453,0.37794974,6,44
11,AT,1.9501987,0.33091453,1.078077,6,44
11,AT,1.9560468,0.33091453,0.3289331,6,30
11,AT,0.6098981,0.33091453,0.063962385,4,35
11,AT,1.4462273,0.33091453,0.58863974,4,42
11,AT,1.298475,0.33091453,0.11526765,6,40
11,AT,1.329427,0.33091453,0.11801526,4,30
11,AT,0.4598905,0.33091453,0.16815524,4,32
11,AT,1.4547197,0.33091453,0.57176554,3,30
11,AT,0.6670056,0.33091453,0.30178684,4,32
11,AT,0.9669464,0.33091453,0.34181038,5,666
11,AT,0.7417395,0.33091453,0.14735793,6,40
11,AT,0.7803352,0.33091453,0.15502545,4,35
11,AT,1.2012872,0.33091453,0.4721567,4,20
11,AT,1.5597948,0.33091453,0.26229855,6,888
11,AT,1.4378188,0.33091453,1.1879488,6,50
11,AT,0.9332868,0.33091453,0.25650635,2,20
11,AT,0.82740283,0.33091453,0.09077031,4,40
11,AT,0.41601875,0.33091453,0.03693064,6,38
11,AT,0.6494272,0.33091453,0.30155247,6,24
11,AT,1.073635,0.33091453,0.35880417,6,42
11,AT,0.9099707,0.33091453,0.30410862,5,38
11,AT,0.68042654,0.33091453,0.33889925,2,20
11,AT,0.55606145,0.33091453,0.061002918,6,45
11,AT,0.4991056,0.33091453,0.20314468,6,38
11,AT,1.159529,0.33091453,0.31406826,5,46
11,AT,0.7417395,0.33091453,0.15414636,4,40
11,AT,1.021017,0.33091453,1.3238645,5,15
11,AT,2.319058,0.33091453,0.6097426,3,40
11,AT,0.80748725,0.33091453,0.39221862,6,45
11,AT,1.6209532,0.33091453,0.83082956,7,666
11,AT,0.3912093,0.33091453,0.20072679,6,38
11,AT,0.9812141,0.33091453,0.10290363,4,54
11,AT,0.4114013,0.33091453,0.07257932,6,40
11,AT,0.5487113,0.33091453,0.1939665,6,40
11,AT,0.5079797,0.33091453,0.17956828,4,40
11,AT,0.6465898,0.33091453,0.15292884,5,777
11,AT,1.483479,0.33091453,0.29471585,3,40
11,AT,1.2219335,0.33091453,0.30749494,7,40
11,AT,0.9658987,0.33091453,0.46916294,2,40
11,AT,0.65483123,0.33091453,0.13608515,3,40
11,AT,1.6681843,0.33091453,0.14808734,4,38
11,AT,0.47378042,0.33091453,0.39144412,5,45
11,AT,0.41370142,0.33091453,0.08888855,6,30
11,AT,1.6209534,0.33091453,0.3833811,4,43
11,AT,2.2314548,0.33091453,0.4637355,5,60
11,AT,1.2440618,0.33091453,1.1834918,6,40
11,AT,1.3709402,0.33091453,0.28490525,2,40
11,AT,1.073635,0.33091453,0.22311963,4,47
11,AT,0.8656501,0.33091453,0.09078405,3,40
11,AT,0.99821126,0.33091453,0.19830987,5,38
11,AT,1.3078376,0.33091453,0.11609869,5,25
11,AT,0.8146224,0.33091453,0.4057385,6,42
11,AT,0.9982112,0.33091453,0.35286197,5,50
11,AT,0.426831,0.33091453,0.115610704,7,46
11,AT,1.3870435,0.33091453,0.2882518,5,41
11,AT,1.6104527,0.33091453,0.538207,6,666
11,AT,0.340339,0.33091453,0.4081498,5,45
11,AT,0.5560615,0.33091453,0.04936244,5,38
11,AT,0.581818,0.33091453,0.6152736,4,55
11,AT,2.165643,0.33091453,0.51220804,4,45
11,AT,0.37437,0.33091453,0.04107029,6,40
11,AT,0.4350144,0.33091453,0.11782725,7,39
11,AT,2.495528,0.33091453,1.3238645,4,50
11,AT,1.3608531,0.33091453,0.6982442,6,40
11,AT,0.53514904,0.33091453,0.27458155,5,43
11,AT,1.2337465,0.33091453,0.5992638,5,65
11,AT,0.6098981,0.33091453,0.06690894,4,40
11,AT,0.8885217,0.33091453,0.43157864,6,39
11,AT,0.5797645,0.33091453,0.07701716,4,38
11,AT,0.7275956,0.33091453,0.17208794,5,43
11,AT,0.47378042,0.33091453,0.39144412,4,20
11,AT,0.9658987,0.33091453,0.44850147,3,30
11,AT,2.946434,0.33091453,1.184588,4,40
11,AT,0.51291066,0.33091453,0.2087635,3,48
11,AT,0.95292634,0.33091453,0.19803452,4,40
11,AT,1.7134386,0.33091453,0.34040025,5,38
11,AT,1.112123,0.33091453,0.30122787,1,25
11,AT,1.2219335,0.33091453,1.0938772,7,38
11,AT,0.7366085,0.33091453,0.15307996,6,60
11,AT,0.46543378,0.33091453,0.09672516,6,40
11,AT,1.6681843,0.33091453,0.14808734,4,40
11,AT,0.7417395,0.33091453,0.36943728,4,40
11,AT,0.5797645,0.33091453,0.060802206,6,30
11,AT,0.41946852,0.33091453,0.11028964,2,30
11,AT,1.3340112,0.33091453,0.27723068,4,40
11,AT,0.49469304,0.33091453,0.06571625,6,40
11,AT,0.65483123,0.33091453,0.164786,6,42
11,AT,0.74874,0.33091453,0.20258978,6,888
11,AT,1.6681842,0.33091453,0.20828111,5,40
11,AT,2.165643,0.33091453,0.45005766,2,40
11,AT,0.48294932,0.33091453,0.2242507,6,56
11,AT,1.2197962,0.33091453,0.10828316,5,37
11,AT,1.112123,0.33091453,0.122005835,5,40
11,AT,0.71400285,0.33091453,0.14184768,6,55
11,AT,0.88628477,0.33091453,0.097230025,6,43
11,AT,1.021017,0.33091453,0.97130644,5,10
11,AT,0.5023222,0.33091453,0.24399126,4,37
11,AT,0.4820758,0.33091453,0.09577179,4,38
11,AT,1.3078378,0.33091453,0.31237015,6,40
11,AT,0.68042654,0.33091453,0.114422105,6,40
11,AT,1.746908,0.33091453,0.21811019,4,40
11,AT,1.0973082,0.33091453,0.3667161,5,38
11,AT,0.4328124,0.33091453,0.20097044,4,12
11,AT,0.53681755,0.33091453,0.0902723,3,16
11,AT,1.4876366,0.33091453,0.6054934,3,40
