essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
1,AT,0.9452,0.2714875,0.2554515,1,5,45
1,AT,0.4726,0.2714875,0.12772575,3,6,60
1,AT,0.9452,0.2714875,0.37795267,7,5,38
1,AT,0.9452,0.2714875,0.37523997,1,5,40
1,AT,1.8905,0.2714875,0.3903356,0,5,20
1,AT,0.9452,0.2714875,0.37795267,6,5,30
1,AT,0.4726,0.2714875,0.15894876,4,4,55
1,AT,1.4178,0.2714875,0.30017903,3,6,40
1,AT,3.3083,0.2714875,0.8941072,2,7,50
1,AT,1.9201,0.2714875,0.3796139,7,6,42
1,AT,0.96,0.2714875,0.24197885,3,6,30
1,AT,0.96,0.2714875,0.18979706,2,5,15
1,AT,1.9201,0.2714875,0.39644715,7,5,26
1,AT,0.96,0.2714875,0.24197885,7,7,40
1,AT,0.48,0.2714875,0.10742654,4,3,45
1,AT,0.3397,0.2714875,0.11550017,5,7,38
1,AT,0.6795,0.2714875,0.27170846,7,5,50
1,AT,0.3397,0.2714875,0.09669628,5,7,38
1,AT,0.6795,0.2714875,0.1520757,4,5,60
1,AT,0.6795,0.2714875,0.14029782,1,6,40
1,AT,0.3397,0.2714875,0.13583425,7,6,50
1,AT,1.6987,0.2714875,0.42817655,3,7,43
1,AT,1.0192,0.2714875,0.4075427,7,4,666
1,AT,0.3397,0.2714875,0.13583425,6,5,45
1,AT,1.0192,0.2714875,0.34278584,4,7,60
1,AT,1.359,0.2714875,0.28059563,7,6,25
1,AT,0.7706,0.2714875,0.16315277,4,7,8
1,AT,0.3853,0.2714875,0.08623218,6,4,777
1,AT,1.5411,0.2714875,0.3884517,2,6,40
1,AT,1.1558,0.2714875,0.39297938,7,6,666
1,AT,1.5411,0.2714875,0.9400422,3,4,39
1,AT,0.7706,0.2714875,0.15910743,2,3,42
1,AT,0.3853,0.2714875,0.12958731,7,4,27
1,AT,0.3853,0.2714875,0.08623218,4,4,50
1,AT,0.3853,0.2714875,0.08623218,5,6,42
1,AT,1.1558,0.2714875,0.2386405,4,3,20
1,AT,1.1558,0.2714875,0.38872826,6,3,48
1,AT,0.9152,0.2714875,0.27307442,7,4,50
1,AT,0.9152,0.2714875,0.3633301,3,4,50
1,AT,0.9152,0.2714875,0.24734364,2,6,777
1,AT,0.9152,0.2714875,0.5582549,2,77,40
1,AT,0.9152,0.2714875,0.18093988,6,6,666
1,AT,0.9152,0.2714875,0.27307442,7,4,48
1,AT,1.217,0.2714875,0.15991968,4,7,46
1,AT,0.3042,0.2714875,0.12163902,5,3,30
1,AT,1.5212,0.2714875,0.30074927,3,3,20
1,AT,1.5212,0.2714875,0.41112232,2,6,40
1,AT,0.9127,0.2714875,0.30696687,5,5,40
1,AT,0.6085,0.2714875,0.24331802,2,5,23
1,AT,0.6085,0.2714875,0.18156226,3,7,40
1,AT,0.3348,0.2714875,0.074930005,7,4,40
1,AT,1.0045,0.2714875,0.27147803,7,5,80
