essround,cntry,tvtot,sclmeet,wkhtot,dweight,pweight
3,AT,1,4,45,0.4143,0.28911608
3,AT,3,6,52,0.8286,0.28911608
3,AT,4,4,45,0.8286,0.28911608
3,AT,3,4,25,1.2429,0.28911608
3,AT,5,5,45,1.6572,0.28911608
3,AT,2,5,43,1.6572,0.28911608
3,AT,1,5,20,1.2429,0.28911608
3,AT,6,6,39,0.8286,0.28911608
3,AT,3,5,39,0.8286,0.28911608
3,AT,4,88,40,0.8286,0.28911608
3,AT,1,4,888,1.2429,0.28911608
3,AT,6,6,40,0.4143,0.28911608
3,AT,6,7,40,0.8286,0.28911608
3,AT,7,7,40,0.4143,0.28911608
3,AT,5,5,888,2.0715,0.28911608
3,AT,6,7,39,0.8286,0.28911608
3,AT,4,7,39,0.8286,0.28911608
3,AT,5,4,80,0.8286,0.28911608
3,AT,4,5,10,1.6572,0.28911608
3,AT,7,5,10,0.8286,0.28911608
3,AT,1,3,40,0.8286,0.28911608
3,AT,2,6,39,1.2429,0.28911608
3,AT,4,6,40,1.2429,0.28911608
3,AT,2,6,55,0.8286,0.28911608
3,AT,4,7,777,1.2429,0.28911608
3,AT,5,5,20,1.2429,0.28911608
3,AT,1,6,30,1.6572,0.28911608
3,AT,3,6,888,1.2429,0.28911608
3,AT,3,5,20,0.4143,0.28911608
3,AT,7,7,40,1.6572,0.28911608
3,AT,6,4,888,1.2429,0.28911608
3,AT,3,7,42,1.6572,0.28911608
3,AT,6,6,42,1.6572,0.28911608
3,AT,2,6,20,1.2429,0.28911608
3,AT,1,6,888,0.8286,0.28911608
3,AT,3,5,40,0.4143,0.28911608
3,AT,0,6,888,0.8286,0.28911608
3,AT,2,6,35,1.2429,0.28911608
3,AT,6,88,888,0.8286,0.28911608
3,AT,1,4,40,0.8286,0.28911608
3,AT,1,6,50,0.4143,0.28911608
3,AT,2,6,40,0.4143,0.28911608
3,AT,3,6,25,1.2429,0.28911608
3,AT,7,7,10,0.4143,0.28911608
3,AT,7,7,50,1.6572,0.28911608
3,AT,0,7,45,1.2429,0.28911608
3,AT,2,6,42,0.8286,0.28911608
3,AT,7,7,25,0.8286,0.28911608
3,AT,6,6,39,1.6572,0.28911608
3,AT,1,7,70,3.3144,0.28911608
3,AT,0,6,38,0.4143,0.28911608
3,AT,2,7,666,0.4143,0.28911608
3,AT,1,6,20,0.8286,0.28911608
3,AT,3,5,45,0.8286,0.28911608
3,AT,2,6,35,1.2429,0.28911608
3,AT,1,6,40,0.4143,0.28911608
3,AT,1,6,18,1.2429,0.28911608
3,AT,0,6,28,1.6572,0.28911608
3,AT,2,7,40,0.4143,0.28911608
3,AT,4,7,38,2.4858,0.28911608
3,AT,2,6,40,0.4143,0.28911608
3,AT,4,5,10,0.8286,0.28911608
3,AT,2,5,65,2.4858,0.28911608
3,AT,6,6,30,0.8286,0.28911608
3,AT,3,5,40,0.4143,0.28911608
3,AT,6,5,30,1.2429,0.28911608
3,AT,2,4,50,1.2429,0.28911608
3,AT,3,4,40,0.8286,0.28911608
3,AT,2,6,888,0.8286,0.28911608
3,AT,7,1,666,0.4143,0.28911608
3,AT,3,4,38,1.6572,0.28911608
3,AT,2,1,38,1.2429,0.28911608
3,AT,5,2,888,0.8286,0.28911608
3,AT,1,4,888,0.8286,0.28911608
3,AT,1,5,50,0.4143,0.28911608
3,AT,3,4,20,0.8286,0.28911608
3,AT,3,7,666,1.6572,0.28911608
3,AT,2,5,50,0.8286,0.28911608
3,AT,1,6,40,1.2429,0.28911608
3,AT,0,6,35,0.8286,0.28911608
3,AT,7,1,888,1.2429,0.28911608
3,AT,4,1,30,0.4143,0.28911608
3,AT,3,1,15,0.8286,0.28911608
3,AT,2,4,888,0.8286,0.28911608
3,AT,2,3,888,1.2429,0.28911608
3,AT,7,1,40,0.8286,0.28911608
3,AT,2,6,35,2.0715,0.28911608
3,AT,0,6,40,0.8286,0.28911608
3,AT,7,4,30,0.4143,0.28911608
3,AT,2,4,40,1.2429,0.28911608
3,AT,7,6,38,2.4858,0.28911608
3,AT,7,6,20,1.6572,0.28911608
3,AT,7,6,5,1.6572,0.28911608
3,AT,1,4,50,2.0715,0.28911608
3,AT,5,4,14,1.6572,0.28911608
3,AT,4,6,60,0.8286,0.28911608
3,AT,1,5,20,1.2429,0.28911608
3,AT,3,5,50,1.2429,0.28911608
3,AT,4,6,39,1.2429,0.28911608
3,AT,1,6,50,0.8286,0.28911608
3,AT,2,1,55,0.8286,0.28911608
3,AT,2,4,18,2.0715,0.28911608
3,AT,2,6,80,0.8286,0.28911608
3,AT,1,6,40,0.4143,0.28911608
3,AT,2,6,38,0.4143,0.28911608
3,AT,4,6,42,0.8286,0.28911608
3,AT,3,4,38,0.4143,0.28911608
3,AT,3,6,888,1.6572,0.28911608
3,AT,2,7,38,0.8286,0.28911608
3,AT,3,5,38,1.2429,0.28911608
3,AT,4,6,38,1.2429,0.28911608
3,AT,0,7,38,0.8286,0.28911608
3,AT,3,5,40,0.8286,0.28911608
3,AT,1,7,40,0.8286,0.28911608
3,AT,5,6,37,0.4143,0.28911608
3,AT,4,5,666,1.6572,0.28911608
3,AT,2,7,666,1.2429,0.28911608
3,AT,6,6,44,1.2429,0.28911608
3,AT,4,5,45,0.8286,0.28911608
3,AT,4,7,45,2.4858,0.28911608
3,AT,4,6,38,1.6572,0.28911608
3,AT,6,6,666,2.9001,0.28911608
3,AT,4,6,45,0.4143,0.28911608
3,AT,88,6,42,0.4143,0.28911608
3,AT,5,6,35,0.8286,0.28911608
3,AT,0,6,20,0.4143,0.28911608
3,AT,5,6,50,0.8286,0.28911608
3,AT,7,6,42,0.4143,0.28911608
3,AT,6,7,666,1.2429,0.28911608
3,AT,4,88,20,0.8286,0.28911608
3,AT,7,4,11,0.8286,0.28911608
3,AT,7,3,48,1.6572,0.28911608
3,AT,1,6,46,0.4143,0.28911608
3,AT,6,5,42,0.4143,0.28911608
3,AT,7,5,50,0.8286,0.28911608
3,AT,4,6,38,0.4143,0.28911608
3,AT,6,5,40,0.8286,0.28911608
3,AT,2,6,51,0.8286,0.28911608
3,AT,88,3,40,2.4858,0.28911608
3,AT,88,7,70,2.0715,0.28911608
3,AT,3,6,25,1.2429,0.28911608
3,AT,5,7,45,0.4143,0.28911608
3,AT,4,4,40,1.2429,0.28911608
3,AT,1,6,30,0.8286,0.28911608
3,AT,1,6,25,2.9001,0.28911608
3,AT,4,4,40,0.8286,0.28911608
3,AT,1,4,40,1.6572,0.28911608
3,AT,3,7,50,0.4143,0.28911608
3,AT,4,6,40,1.6572,0.28911608
3,AT,3,7,888,2.0715,0.28911608
3,AT,3,3,777,0.8286,0.28911608
3,AT,0,4,50,1.2429,0.28911608
3,AT,4,4,31,1.2429,0.28911608
3,AT,2,5,50,0.8286,0.28911608
3,AT,3,6,25,1.2429,0.28911608
3,AT,4,6,41,1.2429,0.28911608
3,AT,7,6,39,0.8286,0.28911608
3,AT,4,7,40,1.2429,0.28911608
3,AT,5,6,44,1.6572,0.28911608
3,AT,4,7,40,2.0715,0.28911608
3,AT,2,5,4,1.6572,0.28911608
3,AT,6,7,20,1.2429,0.28911608
3,AT,3,6,37,1.2429,0.28911608
3,AT,4,6,50,0.8286,0.28911608
3,AT,5,4,55,0.8286,0.28911608
3,AT,7,6,39,1.2429,0.28911608
3,AT,2,4,45,0.4143,0.28911608
3,AT,4,4,40,0.8286,0.28911608
3,AT,2,5,39,0.8286,0.28911608
3,AT,7,4,45,0.8286,0.28911608
3,AT,2,3,777,0.4143,0.28911608
3,AT,3,5,40,1.6572,0.28911608
3,AT,7,5,20,0.8286,0.28911608
3,AT,4,6,40,0.4143,0.28911608
3,AT,2,4,60,0.4143,0.28911608
3,AT,6,2,40,1.2429,0.28911608
3,AT,1,6,40,2.4858,0.28911608
3,AT,6,6,40,2.0715,0.28911608
3,AT,2,4,10,0.8286,0.28911608
3,AT,2,3,40,1.2429,0.28911608
3,AT,4,2,35,0.4143,0.28911608
3,AT,4,6,45,0.8286,0.28911608
3,AT,3,5,888,0.8286,0.28911608
3,AT,6,6,45,1.6572,0.28911608
3,AT,2,6,40,1.2429,0.28911608
3,AT,2,5,45,1.6572,0.28911608
3,AT,5,6,45,0.8286,0.28911608
3,AT,4,4,50,1.2429,0.28911608
3,AT,3,6,666,2.4858,0.28911608
3,AT,2,6,666,2.0715,0.28911608
3,AT,4,4,48,0.8286,0.28911608
3,AT,0,6,40,2.0715,0.28911608
3,AT,6,7,45,0.4143,0.28911608
3,AT,5,7,10,1.2429,0.28911608
3,AT,1,5,20,2.0715,0.28911608
3,AT,0,4,60,1.2429,0.28911608
3,AT,77,6,50,0.8286,0.28911608
3,AT,4,6,38,0.4143,0.28911608
3,AT,0,5,666,0.8286,0.28911608
3,AT,4,6,42,1.2429,0.28911608
3,AT,4,6,40,0.8286,0.28911608
3,AT,3,6,40,0.8286,0.28911608
3,AT,3,6,777,0.8286,0.28911608
3,AT,3,6,45,0.8286,0.28911608
3,AT,3,5,40,0.8286,0.28911608
3,AT,7,4,43,0.8286,0.28911608
3,AT,3,6,38,1.2429,0.28911608
3,AT,88,6,30,1.6572,0.28911608
3,AT,3,5,60,0.4143,0.28911608
3,AT,4,6,25,0.8286,0.28911608
3,AT,7,88,888,0.8286,0.28911608
3,AT,7,7,666,0.8286,0.28911608
3,AT,2,6,27,0.8286,0.28911608
3,AT,3,4,40,1.6572,0.28911608
3,AT,2,6,20,0.8286,0.28911608
3,AT,2,2,88,2.0715,0.28911608
3,AT,6,6,16,1.6572,0.28911608
3,AT,3,3,888,0.8286,0.28911608
3,AT,3,5,18,1.6572,0.28911608
3,AT,7,2,60,1.2429,0.28911608
3,AT,7,5,45,0.4143,0.28911608
3,AT,77,4,45,0.8286,0.28911608
3,AT,6,7,45,0.4143,0.28911608
3,AT,7,7,45,0.4143,0.28911608
3,AT,1,4,30,1.2429,0.28911608
3,AT,5,5,30,0.4143,0.28911608
3,AT,0,4,40,0.4143,0.28911608
3,AT,2,6,50,0.4143,0.28911608
3,AT,5,6,40,1.2429,0.28911608
3,AT,5,6,33,1.2429,0.28911608
3,AT,1,7,43,0.4143,0.28911608
3,AT,4,7,38,1.2429,0.28911608
3,AT,4,5,40,0.4143,0.28911608
3,AT,5,4,30,0.4143,0.28911608
3,AT,2,3,60,0.8286,0.28911608
3,AT,2,4,35,1.2429,0.28911608
3,AT,4,6,50,1.6572,0.28911608
3,AT,3,6,39,0.8286,0.28911608
3,AT,4,6,40,1.6572,0.28911608
3,AT,7,6,40,1.2429,0.28911608
3,AT,2,7,70,0.8286,0.28911608
3,AT,4,6,62,2.0715,0.28911608
3,AT,5,5,40,1.6572,0.28911608
3,AT,4,3,45,1.2429,0.28911608
3,AT,2,5,888,0.8286,0.28911608
3,AT,4,5,40,1.2429,0.28911608
3,AT,4,6,43,0.8286,0.28911608
3,AT,5,5,45,1.2429,0.28911608
3,AT,6,7,39,1.2429,0.28911608
3,AT,4,7,666,1.6572,0.28911608
3,AT,4,6,40,0.8286,0.28911608
3,AT,3,7,40,1.2429,0.28911608
3,AT,7,7,50,2.0715,0.28911608
3,AT,3,6,60,1.2429,0.28911608
3,AT,6,5,43,0.8286,0.28911608
3,AT,6,6,40,1.6572,0.28911608
3,AT,5,6,25,0.8286,0.28911608
3,AT,7,7,50,0.8286,0.28911608
3,AT,7,7,45,1.6572,0.28911608
3,AT,4,5,43,1.6572,0.28911608
3,AT,5,6,30,1.2429,0.28911608
3,AT,5,6,80,1.2429,0.28911608
3,AT,4,6,40,1.6572,0.28911608
3,AT,7,4,888,0.8286,0.28911608
3,AT,2,5,45,1.6572,0.28911608
3,AT,4,7,38,0.8286,0.28911608
3,AT,4,5,45,1.2429,0.28911608
3,AT,5,5,40,1.6572,0.28911608
3,AT,6,4,50,0.8286,0.28911608
3,AT,5,7,42,1.2429,0.28911608
3,AT,4,5,12,0.8286,0.28911608
3,AT,2,6,31,1.2429,0.28911608
3,AT,3,7,25,0.8286,0.28911608
3,AT,4,7,45,0.8286,0.28911608
3,AT,7,6,20,0.8286,0.28911608
3,AT,1,4,15,0.8286,0.28911608
3,AT,6,6,24,0.4143,0.28911608
3,AT,0,7,40,2.0715,0.28911608
3,AT,4,4,38,1.2429,0.28911608
3,AT,5,5,55,0.8286,0.28911608
3,AT,1,5,48,0.8286,0.28911608
3,AT,2,7,50,0.4143,0.28911608
3,AT,1,6,20,0.8286,0.28911608
3,AT,6,5,40,0.8286,0.28911608
3,AT,6,5,50,0.8286,0.28911608
3,AT,2,6,39,0.8286,0.28911608
3,AT,7,6,10,0.8286,0.28911608
3,AT,4,2,44,2.0715,0.28911608
3,AT,4,7,40,0.8286,0.28911608
3,AT,1,6,40,0.8286,0.28911608
3,AT,2,5,12,0.8286,0.28911608
3,AT,1,7,30,0.8286,0.28911608
3,AT,3,6,40,0.4143,0.28911608
3,AT,4,7,25,0.8286,0.28911608
3,AT,4,3,22,0.8286,0.28911608
3,AT,1,4,70,0.8286,0.28911608
3,AT,4,6,40,0.4143,0.28911608
