essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
6,AL,0.49389982,0.18600808,0.0442139,2,5,48
6,AL,1.6252766,0.18600808,0.33317533,0,7,40
6,AL,0.80912447,0.18600808,0.087252416,3,6,40
6,AL,0.21915826,0.18600808,0.064835444,5,6,50
6,AL,0.38687515,0.18600808,0.05046182,4,5,55
6,AL,1.1606255,0.18600808,0.22093675,4,3,49
6,AL,0.13975576,0.18600808,0.03818653,3,2,60
6,AL,0.39596257,0.18600808,0.085423425,7,7,40
6,AL,1.0649946,0.18600808,0.19647054,3,1,666
6,AL,0.54175884,0.18600808,0.11842481,4,3,777
6,AL,2.1299891,0.18600808,0.3929411,7,4,666
6,AL,0.59394383,0.18600808,0.115311526,4,7,666
6,AL,0.8126383,0.18600808,0.14991577,7,2,666
6,AL,0.8126383,0.18600808,0.18381397,7,4,777
6,AL,1.0649946,0.18600808,0.19795324,7,4,666
6,AL,0.29697192,0.18600808,0.0706926,5,4,52
6,AL,0.4949532,0.18600808,0.078327544,5,6,666
6,AL,0.43495125,0.18600808,0.08851799,7,7,70
6,AL,0.5324973,0.18600808,0.11757564,6,7,8
6,AL,1.3314776,0.18600808,0.29307607,7,6,70
6,AL,1.6121184,0.18600808,0.25512165,7,7,666
6,AL,1.3312432,0.18600808,0.20264794,6,6,30
6,AL,1.2090888,0.18600808,0.23185834,6,7,666
6,AL,0.43808627,0.18600808,0.1080351,7,6,777
6,AL,0.14376798,0.18600808,0.0076659243,7,6,48
6,AL,1.5814478,0.18600808,0.21058863,3,3,50
6,AL,1.3485408,0.18600808,0.24496068,7,7,666
6,AL,1.8640686,0.18600808,0.41030648,7,6,48
6,AL,2.6097074,0.18600808,0.6564853,5,2,9
6,AL,0.21565199,0.18600808,0.023597583,4,4,54
6,AL,0.17381988,0.18600808,0.02075586,2,7,666
6,AL,0.28969982,0.18600808,0.053443916,2,4,666
6,AL,1.6121184,0.18600808,0.37460554,3,3,666
6,AL,2.015148,0.18600808,0.43474022,4,5,777
6,AL,2.015148,0.18600808,0.39123192,2,2,666
6,AL,0.79888654,0.18600808,0.14899707,7,3,666
6,AL,1.5977731,0.18600808,0.356061,2,1,666
6,AL,1.1607153,0.18600808,0.14007805,5,6,60
6,AL,2.1747828,0.18600808,0.40120462,0,1,666
6,AL,1.2049923,0.18600808,0.23107281,1,6,40
6,AL,1.2049923,0.18600808,0.15142685,3,4,666
6,AL,1.1607153,0.18600808,0.12701054,2,5,666
6,AL,0.8033282,0.18600808,0.18480214,7,7,112
6,AL,0.53259104,0.18600808,0.14205387,7,3,40
6,AL,0.81554353,0.18600808,0.15158714,7,7,6
6,AL,0.7732551,0.18600808,0.094786026,7,6,666
6,AL,1.1607153,0.18600808,0.12701054,7,4,666
6,AL,0.53259104,0.18600808,0.1195827,2,2,666
6,AL,1.5476204,0.18600808,0.2060841,3,4,777
6,AL,1.6066564,0.18600808,0.26247856,3,7,45
6,AL,1.0873914,0.18600808,0.23769638,7,5,55
6,AL,0.5436957,0.18600808,0.12004826,5,4,28
6,AL,0.14376798,0.18600808,0.019144421,3,2,60
6,AL,1.1607153,0.18600808,0.1508775,4,4,50
6,AL,1.5476204,0.18600808,0.16934739,3,4,60
6,AL,0.5157452,0.18600808,0.12973836,7,1,777
6,AL,1.2668889,0.18600808,0.2349081,7,2,80
6,AL,4,0.18600808,0.7379213,1,7,666
6,AL,1.0801313,0.18600808,0.22142267,7,2,72
6,AL,0.5155034,0.18600808,0.15250574,7,3,48
6,AL,0.54006565,0.18600808,0.12215966,7,7,56
6,AL,1.1596465,0.18600808,0.124397516,5,3,50
6,AL,1.583611,0.18600808,0.36023423,3,6,666
6,AL,0.7730977,0.18600808,0.102947176,4,7,70
6,AL,1.6201968,0.18600808,0.24363565,1,7,65
6,AL,1.1596465,0.18600808,0.124397516,4,1,80
6,AL,0.81554353,0.18600808,0.14860533,5,2,56
6,AL,0.6318142,0.18600808,0.11859342,7,4,84
6,AL,0.6334444,0.18600808,0.14232531,5,3,666
6,AL,1.2668889,0.18600808,0.3449252,6,4,666
6,AL,1.5795355,0.18600808,0.39926508,5,7,666
6,AL,0.38654885,0.18600808,0.051473588,2,2,666
6,AL,0.8100536,0.18600808,0.16605781,6,4,666
6,AL,0.9477213,0.18600808,0.26433113,6,1,666
6,AL,1.0311843,0.18600808,0.16095693,7,6,777
6,AL,1.2668889,0.18600808,0.18653753,7,4,84
6,AL,0.6318142,0.18600808,0.17622074,3,4,112
6,AL,1.5795355,0.18600808,0.3548976,5,4,56
6,AL,0.5400357,0.18600808,0.10037781,7,1,666
6,AL,1.6201072,0.18600808,0.1263046,7,6,777
6,AL,0.88714904,0.18600808,0.08107536,2,7,80
6,AL,1.0800714,0.18600808,0.19680664,2,7,48
6,AL,1.6201072,0.18600808,0.33211562,7,7,56
6,AL,0.14582142,0.18600808,0.018954841,6,7,20
6,AL,3.5887592,0.18600808,0.76535493,3,3,45
6,AL,0.29810345,0.18600808,0.024459451,7,4,40
6,AL,1.1962531,0.18600808,0.23224716,4,5,666
6,AL,3.1900082,0.18600808,0.61172515,7,2,52
6,AL,1.127451,0.18600808,0.24796559,6,3,666
6,AL,0.5962069,0.18600808,0.14193274,4,7,60
6,AL,1.1924138,0.18600808,0.23151618,6,3,666
6,AL,1.127451,0.18600808,0.10478925,2,3,56
6,AL,1.127451,0.18600808,0.2967846,3,3,777
6,AL,1.2070132,0.18600808,0.099029526,7,7,60
6,AL,0.5962069,0.18600808,0.053375743,4,6,50
