essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
7,AT,0.9380747,0.40601933,0.35346848,4,4,44
7,AT,0.9380747,0.40601933,0.35081297,7,5,40
7,AT,0.9380747,0.40601933,0.57604796,6,6,666
7,AT,0.9380747,0.40601933,0.41654685,3,6,44
7,AT,0.9380747,0.40601933,0.2999626,2,4,40
7,AT,0.9380747,0.40601933,0.2999626,2,5,40
7,AT,0.9380747,0.40601933,0.31691393,7,6,43
7,AT,1.2981913,0.40601933,0.2663489,3,4,40
7,AT,1.2981913,0.40601933,0.8247858,4,6,40
7,AT,0.90029824,0.40601933,0.324488,5,4,55
7,AT,0.90029824,0.40601933,0.3428253,3,5,39
7,AT,0.90029824,0.40601933,0.324488,0,4,25
7,AT,0.90029824,0.40601933,0.62314653,7,3,50
7,AT,0.90029824,0.40601933,0.36970395,5,4,39
7,AT,0.90029824,0.40601933,0.3823686,4,3,40
7,AT,0.8057739,0.40601933,0.33923548,4,7,30
7,AT,0.8057739,0.40601933,0.35085642,3,6,40
7,AT,0.8057739,0.40601933,0.33923548,4,7,31
7,AT,0.8057739,0.40601933,0.33923548,3,6,30
7,AT,0.8057739,0.40601933,0.41346863,6,6,45
7,AT,0.8057739,0.40601933,0.3773929,4,6,39
7,AT,0.8057739,0.40601933,0.5717911,1,3,666
7,AT,0.8057739,0.40601933,0.5717911,6,7,40
7,AT,0.8303959,0.40601933,0.35268015,7,2,50
7,AT,0.8303959,0.40601933,0.6094794,0,6,42
7,AT,0.8303959,0.40601933,0.35268015,2,5,84
7,AT,0.8303959,0.40601933,0.46204177,0,5,666
7,AT,0.8303959,0.40601933,0.46204177,2,5,666
7,AT,0.8303959,0.40601933,0.35268015,0,5,50
7,AT,0.8303959,0.40601933,0.41561782,5,3,43
7,AT,0.8303959,0.40601933,0.35003057,5,5,50
7,AT,1.3682228,0.40601933,0.29658097,5,5,45
7,AT,1.3682228,0.40601933,0.5716505,1,7,70
7,AT,1.3682228,0.40601933,0.43633074,3,6,45
7,AT,0.92732376,0.40601933,0.33784425,6,4,40
7,AT,0.92732376,0.40601933,0.33784425,5,4,30
7,AT,0.92732376,0.40601933,0.3494175,4,5,38
7,AT,0.92732376,0.40601933,0.33784425,7,6,30
7,AT,0.83350706,0.40601933,0.38077584,3,5,42
7,AT,0.83350706,0.40601933,0.44256034,0,5,70
7,AT,0.83350706,0.40601933,0.417175,7,5,43
7,AT,0.83350706,0.40601933,0.46694773,3,5,40
7,AT,0.83350706,0.40601933,0.351342,7,5,666
7,AT,0.83350706,0.40601933,0.31739184,7,5,40
7,AT,0.8431898,0.40601933,0.3462526,4,4,20
7,AT,0.8431898,0.40601933,0.35542348,7,1,666
7,AT,0.8431898,0.40601933,0.35542348,2,5,60
7,AT,0.8431898,0.40601933,0.3462526,3,4,50
7,AT,0.8431898,0.40601933,0.38519925,2,4,39
7,AT,0.8431898,0.40601933,0.61886966,0,5,45
7,AT,0.8431898,0.40601933,0.61886966,3,5,40
7,AT,0.8431898,0.40601933,0.35811388,2,5,46
7,AT,0.8560709,0.40601933,0.36358467,3,4,72
