STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,frequenc,Frequency,pers_cat,Category of persons,deg_urb,Degree of urbanisation,hhcomp,Household composition,quant_inc,Income quantile,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2022,,10.6,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2015,,6.8,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2022,,4.8,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2015,,5.1,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2022,,5.4,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,,7.9,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,5.9,,e,estimated,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2015,,5.1,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2022,,5.0,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2015,,5.7,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2022,,6.5,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2015,,10.0,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HR,Croatia,2022,,7.3,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2015,,13.6,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,HU,Hungary,2022,,6.1,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2015,,3.7,,u,low reliability,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IE,Ireland,2022,,7.3,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IS,Iceland,2015,,4.8,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2015,,5.7,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,IT,Italy,2022,,4.8,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2015,,11.8,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LT,Lithuania,2022,,7.5,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2015,,6.3,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,LU,Luxembourg,2022,,5.7,,,,,
