STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,acl00,Classification of activities for time use,quant_inc,Income quantile,deg_urb,Degree of urbanisation,hhcomp,Household composition,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2022,,10.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2015,,11.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2022,,7.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2015,,10.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2022,,8.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,,18.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,12.3,,e,estimated,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2015,,34.0,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FI,Finland,2022,,23.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2015,,23.0,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,FR,France,2022,,15.6,,,,,
