essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
9,AT,0.5811743,0.30209145,0.06588958,6,0
9,AT,1.0627724,0.30209145,0.12490674,6,40
9,AT,1.3765086,0.30209145,0.685836,6,40
9,AT,0.9933993,0.30209145,0.11675334,6,30
9,AT,0.37735337,0.30209145,0.31178924,5,80
9,AT,1.4793528,0.30209145,0.17386712,6,50
9,AT,0.9917577,0.30209145,0.21768841,6,45
9,AT,0.30985904,0.30209145,0.039305978,6,60
9,AT,1.2303838,0.30209145,0.53493136,4,40
9,AT,0.4588362,0.30209145,0.22439778,6,50
9,AT,0.4261578,0.30209145,0.048314877,4,45
9,AT,0.9917577,0.30209145,0.23495486,6,25
9,AT,1.1061352,0.30209145,0.24279402,5,45
9,AT,0.8202559,0.30209145,0.29697016,3,50
9,AT,0.47176006,0.30209145,0.10355017,6,39
9,AT,0.5730639,0.30209145,0.30821434,6,25
9,AT,0.9295771,0.30209145,0.10925241,6,168
9,AT,1.31288,0.30209145,0.16654046,4,27
9,AT,0.30985904,0.30209145,0.03512972,6,40
9,AT,0.5521099,0.30209145,0.41962543,4,35
9,AT,0.5521099,0.30209145,0.12118679,5,39
9,AT,0.6061253,0.30209145,0.15539789,4,30
9,AT,0.46808594,0.30209145,0.08253275,3,30
9,AT,1.1529205,0.30209145,0.27459788,4,38
9,AT,0.9176724,0.30209145,0.41359982,5,57
9,AT,1.0791376,0.30209145,0.5803992,7,43
9,AT,0.54769045,0.30209145,0.17612207,6,5
9,AT,0.8539414,0.30209145,0.18743804,4,38
9,AT,0.5506459,0.30209145,0.4185129,7,60
9,AT,1.8469421,0.30209145,1.208274,5,46
9,AT,1.1061352,0.30209145,0.2342086,7,40
9,AT,0.9276699,0.30209145,0.10902825,4,60
9,AT,1.0360992,0.30209145,0.24677388,4,50
9,AT,1.5439435,0.30209145,0.67125684,6,44
9,AT,0.47826752,0.30209145,0.103047274,5,60
9,AT,1.2068704,0.30209145,0.26490518,6,48
9,AT,0.9176724,0.30209145,0.33223942,4,39
9,AT,0.59357375,0.30209145,0.07529555,4,35
9,AT,1.1167736,0.30209145,0.1266122,6,48
9,AT,0.8216318,0.30209145,0.37031382,6,44
9,AT,0.8761643,0.30209145,0.11114247,6,8
9,AT,0.510506,0.30209145,0.22195163,6,60
9,AT,0.59286696,0.30209145,0.055972356,7,38
9,AT,1.0791376,0.30209145,0.5803992,6,39
